,,married-joint,married-separate,single,head-of-house
2021,0.1,0,0,0,0
,0.12,19900,9950,9950,14200
,0.22,81050,40525,40525,54200
,0.24,172750,86375,86375,86350
,0.32,329850,164925,164925,164900
,0.35,418850,209425,209425,209400
,0.37,628301,523600,523600,523600
,,,,,
2020,0.1,0,0,0,0
,0.12,19750,9875,9875,14100
,0.22,80250,40125,40125,53700
,0.24,171050,85525,85525,85500
,0.32,326600,163300,163300,163300
,0.35,414700,207350,207350,207350
,0.37,622050,518400,518400,518400
,,,,,
2019,0.1,0,0,0,0
,0.12,19400,9700,9700,9700
,0.22,78950,39475,39475,52850
,0.24,168400,84200,84200,84200
,0.32,321450,160725,160725,160700
,0.35,408200,204100,204100,204100
,0.37,612350,510300,510300,510300
,,,,,
2018,0.1,0,0,0,0
,0.12,19050,9525,9525,13600
,0.22,77400,38700,38700,51800
,0.24,165000,82500,82500,82500
,0.32,315000,157500,157500,157500
,0.35,400000,200000,200000,200000
,0.37,600000,300000,500000,500000
,,,,,
2017,0.1,0,0,0,0
,0.15,18650,9235,9325,13350
,0.25,75900,37950,37950,50800
,0.28,153100,76550,91900,131200
,0.33,233350,116675,191650,212500
,0.35,416700,208350,416700,416700
,0.396,470700,235350,418400,444550
,,,,,
2016,0.1,0,0,0,0
,0.15,18550,9275,9275,13250
,0.25,75300,37650,37650,50400
,0.28,151900,75950,91150,130150
,0.33,231450,115725,190150,210800
,0.35,413350,206675,413450,413350
,0.396,466950,233475,415050,441000
,,,,,
2015,0.1,0,0,0,0
,0.15,18451,9226,9226,13151
,0.25,74901,37451,37451,50201
,0.28,151201,75601,90751,129601
,0.33,230451,115226,189301,209851
,0.35,411501,205751,411501,411501
,0.396,464851,232426,413201,439001
,,,,,
2014,0.1,0,0,0,0
,0.15,18151,9076,9076,12951
,0.25,73801,36901,36901,49401
,0.28,148851,74426,89351,127551
,0.33,226851,113426,186351,206601
,0.35,405101,202551,405101,405101
,0.396,457601,228801,406751,432201
,,,,,
2013,0.1,0,0,0,0
,0.15,17850,8925,8925,12750
,0.25,72500,36250,36250,48600
,0.28,146400,73200,87850,125450
,0.33,223050,111525,183250,203150
,0.35,398350,199175,398350,398350
,0.396,450000,225000,400000,425000
,,,,,
2012,0.1,0,0,0,0
,0.15,17400,8700,8700,12400
,0.25,70700,35350,35350,47350
,0.28,142700,71350,85650,122300
,0.33,217450,108725,178650,198050
,0.35,388350,194175,388350,388350
,,,,,
2011,0.1,0,0,0,0
,0.15,17000,8500,8500,12150
,0.25,69000,34500,34500,46250
,0.28,139350,69675,83600,119400
,0.33,212300,106150,174400,193350
,0.35,379150,189575,379150,379150
,,,,,
2010,0.1,0,0,0,0
,0.15,16750,8375,8375,11950
,0.25,68000,34000,34000,45550
,0.28,137300,68650,82400,117650
,0.33,209250,104625,171850,190550
,0.35,373650,186825,373650,373650
,,,,,
2009,0.1,0,0,0,0
,0.15,16700,8350,8350,11950
,0.25,67900,33950,33950,45500
,0.28,137050,68525,82250,117450
,0.33,208850,104425,171550,190200
,0.35,372950,186475,372950,372950
,,,,,
2008,0.1,0,0,0,0
,0.15,16050,8025,8025,11450
,0.25,65100,32550,32550,43650
,0.28,131450,65725,78850,112650
,0.33,200300,100150,164550,182400
,0.35,357700,178850,357700,357700
,,,,,
2007,0.1,0,0,0,0
,0.15,15650,7825,7825,11200
,0.25,63700,31850,31850,42650
,0.28,128500,64250,77100,110100
,0.33,195850,97925,160850,178350
,0.35,349700,174850,349700,349700
,,,,,
2006,0.1,0,0,0,0
,0.15,15100,7550,7550,10750
,0.25,61300,30650,30650,41050
,0.28,123700,61850,74200,106000
,0.33,188450,94225,154800,171650
,0.35,336550,168275,336550,336550
,,,,,
2005,0.1,0,0,0,0
,0.15,14600,7300,7300,10450
,0.25,59400,29700,29700,39800
,0.28,119950,59975,71950,102800
,0.33,182800,91400,150150,166450
,0.35,326450,163225,326450,326450
,,,,,
2004,0.1,0,0,0,0
,0.15,14300,7150,7150,10200
,0.25,58100,29050,29050,38900
,0.28,117250,58625,70350,100500
,0.33,178650,89325,146750,162700
,0.35,319100,159550,319100,319500
,,,,,
2003,0.1,0,0,0,0
,0.15,14000,7000,7000,10000
,0.25,56800,23725,28400,38050
,0.28,114650,57325,68800,98250
,0.33,174700,87350,143500,159100
,0.35,311950,155975,311950,311950
,,,,,
2002,0.1,0,0,0,0
,0.15,12000,6000,6000,10000
,0.27,46700,23350,27950,37450
,0.3,112850,56425,67700,96700
,0.35,171950,85975,141250,156600
,0.386,307050,153525,307050,307050
,,,,,
2001,0.15,0,0,0,0
,0.275,45200,22600,27050,36250
,0.305,109250,54625,65550,93650
,0.355,166500,83250,136750,151650
,0.391,297350,148675,297350,297350
,,,,,
2000,0.15,0,0,0,0
,0.28,43850,21925,26250,35150
,0.31,105950,52975,63550,90800
,0.36,161450,80725,132600,147050
,0.396,288350,144175,288350,288350
,,,,,
1999,0.15,0,0,0,0
,0.28,43050,21525,25750,34550
,0.31,104050,52025,62450,89150
,0.36,158550,79275,130250,144400
,0.396,283150,141575,283150,283150
,,,,,
1998,0.15,0,0,0,0
,0.28,42350,21175,25350,33950
,0.31,102300,51150,61400,87700
,0.36,155950,77975,128100,142000
,0.396,278450,139225,278450,278450
,,,,,
1997,0.15,0,0,0,0
,0.28,41200,20600,24650,33050
,0.31,99600,49800,59750,85350
,0.36,151750,75875,124650,138200
,0.396,271050,135525,271050,271050
,,,,,
1996,0.15,0,0,0,0
,0.28,40100,20050,24000,32150
,0.31,96900,48450,58150,83050
,0.36,147700,73850,121300,134500
,0.396,263750,131875,263750,263750
,,,,,
1995,0.15,0,0,0,0
,0.28,39000,19500,23350,31250
,0.31,94250,47125,56550,80750
,0.36,143600,71800,117950,130800
,0.396,256500,128250,256500,256500
,,,,,
1994,0.15,0,0,0,0
,0.28,38000,19000,22750,30500
,0.31,91850,45925,55100,78700
,0.36,140000,70000,115000,127500
,0.396,250000,125000,250000,250000
,,,,,
1993,0.15,0,0,0,0
,0.28,36900,18450,22100,29600
,0.31,89150,44575,53500,76400
,0.36,140000,70000,115000,127500
,0.396,250000,125000,250000,250000
,,,,,
1992,0.15,0,0,0,0
,0.28,35800,17900,21450,28750
,0.31,86500,43250,51900,74150
,,,,,
1991,0.15,0,0,0,0
,0.28,34000,17000,20350,27300
,0.31,82150,41075,49300,70450
,,,,,
1990,0.15,0,0,0,0
,0.28,32450,16225,19450,26050